Ano;Mês;Irradiação
2020;Out;7.04
2020;Out;6.72
2020;Out;7.1
2020;Out;6.89
2020;Out;6.82
2020;Out;6.76
2020;Out;6.73
2020;Out;6.91
2020;Out;7.05
2020;Out;6.95
2020;Out;7.13
2020;Out;6.89
2020;Out;6.97
2020;Out;6.87
2020;Out;6.97
2020;Out;6.5
2020;Out;7.12
2020;Out;6.84
2020;Out;7.1
2020;Out;6.78
2020;Out;6.84
2020;Out;6.97
2020;Out;6.16
2020;Out;6.7
2020;Out;6.25
2020;Out;6.27
2020;Out;6.85
2020;Out;6.53
2020;Out;6.42
2020;Out;6.81
2020;Out;6.94
2020;Nov;6.68
2020;Nov;6.77
2020;Nov;6.69
2020;Nov;4.47
2020;Nov;6.08
2020;Nov;6.77
2020;Nov;6.92
2020;Nov;6.45
2020;Nov;6.21
2020;Nov;7.1
2020;Nov;3.79
2020;Nov;5.29
2020;Nov;6.57
2020;Nov;6.89
2020;Nov;6.85
2020;Nov;6.75
2020;Nov;6.56
2020;Nov;5.74
2020;Nov;6.52
2020;Nov;6.14
2020;Nov;5.09
2020;Nov;6.36
2020;Nov;5.73
2020;Nov;6.53
2020;Nov;6.22
2020;Nov;6.54
2020;Nov;5.47
2020;Nov;6.72
2020;Nov;6.24
2020;Nov;6.98
2020;Dez;6.74
2020;Dez;6.28
2020;Dez;6.54
2020;Dez;6.11
2020;Dez;6.69
2020;Dez;6.25
2020;Dez;5.53
2020;Dez;5.64
2020;Dez;6.84
2020;Dez;6.62
2020;Dez;6.62
2020;Dez;6.47
2020;Dez;6.59
2020;Dez;5.71
2020;Dez;5.9
2020;Dez;6.04
2020;Dez;6.1
2020;Dez;6.42
2020;Dez;6.43
2020;Dez;6.59
2020;Dez;6.53
2020;Dez;6.59
2020;Dez;6.54
2020;Dez;5.19
2020;Dez;5.42
2020;Dez;4.93
2020;Dez;5.97
2020;Dez;6.69
2020;Dez;5.92
2020;Dez;6.83
2020;Dez;6.61
2020;Dez;6.52
2021;Jan;6.55
2021;Jan;6.43
2021;Jan;6.22
2021;Jan;6.63
2021;Jan;6.76
2021;Jan;5.91
2021;Jan;5.86
2021;Jan;6.03
2021;Jan;6.44
2021;Jan;6.17
2021;Jan;6.61
2021;Jan;6.16
2021;Jan;5.61
2021;Jan;5.56
2021;Jan;6.65
2021;Jan;6.65
2021;Jan;5.68
2021;Jan;5.07
2021;Jan;3.25
2021;Jan;2.8
2021;Jan;6.0
2021;Jan;5.81
