Ano;Mês;Dia;Irradiação
2019;Dez;2;6,97
2019;Dez;3;6,83
2019;Dez;4;6,69
2019;Dez;5;6,62
2019;Dez;6;6,94
2019;Dez;7;6,9
2019;Dez;8;6,84
2019;Dez;9;6,86
2019;Dez;10;6,72
2019;Dez;11;5,91
2019;Dez;12;6,08
2019;Dez;13;5,58
2019;Dez;14;6,34
2019;Dez;15;6,22
2019;Dez;16;6,23
2019;Dez;17;6,29
2019;Dez;18;6,35
2019;Dez;19;6,06
2019;Dez;20;5,47
2019;Dez;21;6,3
2019;Dez;22;6,62
2019;Dez;23;5,83
2019;Dez;24;5,42
2019;Dez;25;6,49
2019;Dez;26;6,51
2019;Dez;27;6,29
2019;Dez;28;6,39
2019;Dez;29;6,3
2019;Dez;30;4,44
2019;Dez;31;2,21
2020;Jan;1;4,58
2020;Jan;2;3,57
2020;Jan;3;6,16
2020;Jan;4;6,04
2020;Jan;5;5,53
2020;Jan;6;6,19
2020;Jan;7;5,75
2020;Jan;8;4,33
2020;Jan;9;3,49
2020;Jan;10;5,53
2020;Jan;11;6,07
2020;Jan;12;6,78
2020;Jan;13;5,85
2020;Jan;14;6,09
2020;Jan;15;6,24
2020;Jan;16;6,41
2020;Jan;17;6,02
2020;Jan;18;5,42
2020;Jan;19;4,88
2020;Jan;20;6,77
2020;Jan;21;6,79
2020;Jan;22;5,6
2020;Jan;23;5,47
2020;Jan;24;6,45
2020;Jan;25;6,58
2020;Jan;26;2,7
2020;Jan;27;5,56
2020;Jan;28;4,34
2020;Jan;29;6,51
2020;Jan;30;3,95
2020;Jan;31;0,71
2020;Fev;1;6,47
2020;Fev;2;5,66
2020;Fev;3;6,11
2020;Fev;4;4,93
2020;Fev;5;2,77
2020;Fev;6;4,18
2020;Fev;7;6,47
2020;Fev;8;6,37
2020;Fev;9;5,72
2020;Fev;10;3,28
2020;Fev;11;6,4
2020;Fev;12;6,53
2020;Fev;13;1,94
2020;Fev;14;4,91
2020;Fev;15;4,46
2020;Fev;16;5,39
2020;Fev;17;2,15
2020;Fev;18;4,21
2020;Fev;19;3,66
2020;Fev;20;2,53
2020;Fev;21;4
2020;Fev;22;1,25
2020;Fev;23;4,92
2020;Fev;24;5,9
2020;Fev;25;3,66
